index,context,question,image,audio,code,A,B,C,D,correct,hint,set_question_id,tags
15,,Bước xác định bài toán bao gồm những hoạt động nào?,,,,Hiểu mục tiêu kinh doanh và xác định chỉ số đo lường,Làm sạch dữ liệu và chuẩn hóa,Thu thập dữ liệu từ API,Triển khai mô hình vào hệ thống,A,,,
16,,Nguồn dữ liệu trong bước thu thập có thể bao gồm gì?,,,,Chỉ dữ liệu từ báo cáo giấy,Chỉ cơ sở dữ liệu nội bộ,"Cơ sở dữ liệu nội bộ, API, và web scraping",Chỉ dữ liệu có cấu trúc,C,,,
17,,Yếu tố nào cần chú ý khi thu thập dữ liệu?,,,,Quy định pháp lý và đạo đức về quyền riêng tư,Tối ưu hóa hiệu suất mô hình,Lựa chọn thuật toán học máy,Trực quan hóa dữ liệu,A,,,
18,,Mục tiêu của bước khai phá dữ liệu là gì?,,,,Làm sạch dữ liệu,Triển khai mô hình vào thực tiễn,Xây dựng mô hình dự đoán,"Xác định xu hướng, mối tương quan, và giá trị ngoại lệ",D,,,
19,,Bước xử lý dữ liệu bao gồm những hoạt động nào?,,,,"Làm sạch dữ liệu, chuẩn hóa, và tạo đặc trưng mới",Xác định mục tiêu kinh doanh,Thu thập dữ liệu từ API,Đánh giá hiệu quả mô hình,A,,,
20,,Việc lựa chọn thuật toán trong bước xây dựng mô hình phụ thuộc vào yếu tố nào?,,,,Nguồn dữ liệu,Chỉ số đo lường thành công,Mục tiêu bài toán và bản chất dữ liệu,Quy định pháp lý,C,,,
21,,Dữ liệu trong bước xây dựng mô hình thường được chia thành những tập nào?,,,,Tập dữ liệu thô và dữ liệu đã xử lý,"Tập huấn luyện, kiểm tra, và kiểm định chéo",Tập dữ liệu có cấu trúc và phi cấu trúc,Tập dữ liệu nội bộ và bên ngoài,B,,,
22,,Mục đích của việc tinh chỉnh siêu tham số trong xây dựng mô hình là gì?,,,,Tối ưu hóa hiệu suất mô hình,Làm sạch dữ liệu,Thu thập dữ liệu mới,Trực quan hóa dữ liệu,A,,,
23,,Bước đánh giá mô hình sử dụng những chỉ số nào?,,,,"Độ chính xác, độ lỗi trung bình, hệ số xác định",Chỉ số đo lường thành công từ bước xác định bài toán,Số lượng dữ liệu thu thập được,Tốc độ thu thập dữ liệu,A,,,
24,,Yếu tố nào quan trọng khi đánh giá mô hình?,,,,Mức độ khả giải và ý nghĩa thực tiễn,Tốc độ triển khai mô hình,Số lượng nguồn dữ liệu,Mức độ phức tạp của thuật toán,A,,,
25,,Bước triển khai mô hình thường bao gồm việc gì?,,,,Đưa mô hình vào hệ thống phần mềm hoặc dashboard,Làm sạch dữ liệu,Xác định bài toán,Khai phá dữ liệu,A,,,
26,,Việc giám sát mô hình sau triển khai có mục đích gì?,,,,Theo dõi hiệu suất và cập nhật mô hình,Thu thập dữ liệu mới,Làm sạch dữ liệu,Xây dựng mô hình mới,A,,,
27,,Khoa học dữ liệu được định nghĩa là gì?,,,,Một phương pháp luận để khai thác giá trị từ dữ liệu,Một tập hợp các công cụ kỹ thuật,Một lĩnh vực chỉ tập trung vào học máy,Một công cụ để lưu trữ dữ liệu,A,,,
28,,Ứng dụng của khoa học dữ liệu có thể được triển khai trong lĩnh vực nào?,,,,Chỉ trong kinh doanh,Chỉ trong khoa học máy tính,"Kinh doanh, y học, quản trị công, và hoạch định chính sách",Chỉ trong thống kê,C,,,
29,,Việc thiếu kiến thức chuyên môn trong khoa học dữ liệu có thể dẫn đến gì?,,,,Tăng tốc độ xử lý dữ liệu,Sai lệch trong diễn giải dữ liệu hoặc kết luận không phù hợp,Tăng độ chính xác của mô hình,Giảm yêu cầu về dữ liệu,B,,,
30,,Tại sao khoa học dữ liệu cần cách tiếp cận có hệ thống?,,,,Để giảm thời gian thu thập dữ liệu,Để chỉ tập trung vào công cụ kỹ thuật,Để loại bỏ nhu cầu về kiến thức chuyên môn,Để biến dữ liệu thô thành thông tin có ý nghĩa,D,,,
31,,Đặc thù của dữ liệu trong kinh tế và kinh doanh so với các lĩnh vực khác là gì?,,,,"Dữ liệu phản ánh hành vi con người trong tiêu dùng, đầu tư",Dữ liệu có tính khách quan và ổn định,Dữ liệu chủ yếu từ cảm biến và thiết bị,Dữ liệu chỉ có cấu trúc cố định,A,,,
32,,Tại sao dữ liệu kinh tế - kinh doanh đòi hỏi phương pháp tiếp cận thận trọng?,,,,Do ảnh hưởng của kỳ vọng chủ quan và thông tin bất cân xứng,Do sử dụng mô hình học sâu phức tạp,Do dữ liệu luôn có tính ổn định cao,Do không cần kiến thức chuyên môn,A,,,
33,,Mô hình phân tích trong kinh tế - kinh doanh cần đảm bảo điều gì ngoài độ chính xác?,,,,Tính phức tạp của thuật toán,Tốc độ xử lý dữ liệu,Khả năng giải thích và minh bạch về mặt kinh tế học,Sử dụng mô hình hộp đen,C,,,
34,,Mục tiêu tối hậu của khoa học dữ liệu trong kinh tế - kinh doanh là gì?,,,,Tối ưu hóa hiệu quả kinh tế và nâng cao năng suất,Tối ưu hóa độ chính xác của mô hình học sâu,Loại bỏ hoàn toàn lý thuyết kinh tế,Giảm thiểu việc sử dụng dữ liệu,A,,,
35,,Khoa học dữ liệu trong kinh tế - kinh doanh thường tích hợp với mô hình nào?,,,,Mô hình mạng nơ-ron sâu,Mô hình xử lý hình ảnh,Mô hình nhận diện khuôn mặt,Mô hình kinh tế lượng và phân tích rủi ro tài chính,D,,,
36,,Bước xác định bài toán trong kinh tế - kinh doanh tập trung vào điều gì?,,,,Hiểu môi trường kinh doanh và mục tiêu chiến lược,Tối ưu hóa thuật toán học máy,Thu thập dữ liệu từ cảm biến,Làm sạch dữ liệu,A,,,
37,,Dữ liệu trong kinh tế - kinh doanh thường ở dạng nào?,,,,"Dữ liệu dạng bảng như danh sách khách hàng, hóa đơn",Dữ liệu từ cảm biến và thiết bị,Dữ liệu âm thanh và hình ảnh,Dữ liệu chỉ ở dạng phi cấu trúc,A,,,
38,,Bước khai phá dữ liệu trong kinh tế - kinh doanh sử dụng công cụ gì?,,,,Thống kê cơ bản để tìm xu hướng và mối quan hệ,Công cụ xử lý hình ảnh,Công cụ nhận diện giọng nói,Mô hình học sâu,A,,,
39,,Bước xử lý dữ liệu trong kinh tế - kinh doanh bao gồm hoạt động nào?,,,,"Kiểm tra và làm sạch dữ liệu bị thiếu, sai sót",Xây dựng mô hình học máy,Triển khai mô hình vào hệ thống,Thu thập dữ liệu từ API,A,,,
40,,Mô hình nào thường được dùng trong kinh tế - kinh doanh?,,,,Hồi quy tuyến tính và cây quyết định,Mạng học sâu phức tạp,Mô hình xử lý tín hiệu,Mô hình nhận diện khuôn mặt,A,,,
41,,Việc đánh giá mô hình trong kinh tế - kinh doanh cần xem xét điều gì?,,,,Cải thiện hiệu quả kinh doanh như tăng doanh thu,Chỉ độ chính xác của mô hình,Tốc độ xử lý dữ liệu,Số lượng dữ liệu thu thập,A,,,
42,,Triển khai mô hình trong kinh tế - kinh doanh thường tích hợp vào đâu?,,,,Hệ thống báo cáo hoặc bảng điều khiển cho lãnh đạo,Hệ thống điều khiển tự động,Thiết bị cảm biến,Ứng dụng nhận diện âm thanh,A,,,
43,,Tại sao dữ liệu kinh tế - kinh doanh dễ bị sai lệch?,,,,Do kỳ vọng chủ quan và thông tin bất cân xứng,Do sử dụng mô hình học sâu,Do dữ liệu luôn ổn định,Do thiếu công cụ phân tích,A,,,
44,,Mô hình trong kinh tế - kinh doanh cần có đặc điểm gì để được tin dùng?,,,,Khả năng giải thích và minh bạch,Tính phức tạp cao,Tốc độ xử lý nhanh,Không cần kiến thức chuyên môn,A,,,
45,,Khoa học dữ liệu trong kinh tế - kinh doanh có xu hướng tích hợp với lĩnh vực nào?,,,,"Lý thuyết kinh tế, tài chính, và quản trị",Xử lý hình ảnh và âm thanh,Kỹ thuật phần cứng,Nhận diện giọng nói,A,,,
46,,Bước xác định bài toán trong kinh tế - kinh doanh khác với khoa học dữ liệu thông thường như thế nào?,,,,Tập trung vào độ chính xác kỹ thuật,Yêu cầu sử dụng mô hình học sâu,Gắn với mục tiêu kinh doanh và chiến lược,Không cần kiến thức chuyên môn,C,,,
47,,Dữ liệu kinh tế - kinh doanh thường được thu thập từ đâu?,,,,Dữ liệu âm thanh và video,Cảm biến và thiết bị IoT,Hệ thống quản lý doanh nghiệp và khảo sát thị trường,Chỉ dữ liệu phi cấu trúc,C,,,
48,,Khai phá dữ liệu trong kinh tế - kinh doanh giúp gì?,,,,Xử lý tín hiệu âm thanh,Tối ưu hóa thuật toán học máy,Làm sạch dữ liệu,"Tìm xu hướng, mùa vụ, và mối quan hệ giữa các chỉ tiêu",D,,,
49,,Việc xử lý dữ liệu trong kinh tế - kinh doanh cần chú ý điều gì?,,,,Thu thập dữ liệu từ cảm biến,Sử dụng mô hình học sâu,Triển khai mô hình vào hệ thống,Chuẩn hóa thông tin từ nhiều nguồn và làm sạch sai sót,D,,,
50,,Tại sao đánh giá mô hình trong kinh tế - kinh doanh cần xem xét ý nghĩa thực tiễn?,,,,Để tăng độ phức tạp của thuật toán,Để giảm thời gian xử lý dữ liệu,Để loại bỏ kiến thức chuyên môn,Để đảm bảo mô hình cải thiện hiệu quả kinh doanh,D,,,
51,,Kỹ thuật dữ liệu tập trung vào lĩnh vực nào?,,,,Thiết kế và quản trị hạ tầng dữ liệu,Phân tích thống kê và trực quan hóa,Xây dựng mô hình học máy,Diễn giải kết quả phân tích,A,,,
52,,Vai trò chính của kỹ sư dữ liệu là gì?,,,,Xây dựng mô hình dự đoán,Thiết lập kho dữ liệu và quy trình xử lý tự động,Phân tích xu hướng và mối quan hệ,Trực quan hóa dữ liệu,B,,,
53,,Kỹ thuật dữ liệu đóng vai trò trung tâm ở bước nào trong chu trình khoa học dữ liệu?,,,,Xây dựng mô hình,Thu thập dữ liệu,Đánh giá mô hình,Diễn giải kết quả,B,,,
54,,Quy trình ETL trong kỹ thuật dữ liệu có nghĩa là gì?,,,,Extract – Transform – Load,Explore – Test – Learn,Estimate – Train – Launch,Extract – Test – Load,A,,,
55,,Kỹ thuật dữ liệu hỗ trợ bước khai phá dữ liệu bằng cách nào?,,,,Thực hiện phân tích thống kê,Xây dựng công cụ truy vấn và kho dữ liệu phân tích,Xây dựng mô hình học máy,Diễn giải kết quả phân tích,B,,,
56,,"Trong bước xử lý dữ liệu, kỹ thuật dữ liệu đảm nhận nhiệm vụ gì?",,,,Chuẩn hóa định dạng và tích hợp dữ liệu,Phân tích xu hướng dữ liệu,Huấn luyện mô hình học máy,Trình bày kết quả phân tích,A,,,
57,,Kỹ thuật dữ liệu hỗ trợ bước triển khai và giám sát như thế nào?,,,,Xây dựng hệ thống giám sát luồng dữ liệu thời gian thực,Thực hiện phân tích thống kê mô tả,Xây dựng mô hình dự đoán,Diễn giải kết quả phân tích,A,,,
58,,Kho dữ liệu (data warehouse) trong kỹ thuật dữ liệu có vai trò gì?,,,,Lưu trữ và quản lý dữ liệu lớn để phân tích,Huấn luyện mô hình học máy,Phân tích mối quan hệ giữa các biến,Trực quan hóa dữ liệu,A,,,
59,,Kỹ thuật dữ liệu không bao gồm hoạt động nào?,,,,Xây dựng data pipeline,Phân tích thống kê mô tả,Quản trị kho dữ liệu,Tích hợp dữ liệu từ nhiều nguồn,B,,,
60,,Hồ dữ liệu (data lake) trong kỹ thuật dữ liệu là gì?,,,,Nơi lưu trữ dữ liệu thô từ nhiều nguồn,Công cụ phân tích thống kê,Mô hình học máy,Báo cáo trực quan hóa,A,,,
61,,Phân tích dữ liệu tập trung vào mục tiêu nào?,,,,Tự động hóa quy trình thu thập dữ liệu,"Khám phá và diễn giải xu hướng, mối quan hệ trong dữ liệu",Xây dựng mô hình học máy phức tạp,Thiết kế hạ tầng lưu trữ dữ liệu,B,,,
62,,Hình thức phân tích mô tả (descriptive analytics) có mục đích gì?,,,,Tóm lược dữ liệu quá khứ để phản ánh hiện trạng,Dự đoán sự kiện trong tương lai,Gợi ý hành động tối ưu,Xây dựng mô hình học máy,A,,,
63,,Phân tích chẩn đoán (diagnostic analytics) tập trung vào điều gì?,,,,Tìm nguyên nhân của các hiện tượng đã xảy ra,Dự đoán xác suất sự kiện tương lai,Gợi ý hành động tối ưu,Thiết kế kho dữ liệu,A,,,
64,,Phân tích dự đoán (predictive analytics) sử dụng công cụ nào?,,,,Mô hình thống kê để ước lượng xác suất,Quy trình ETL,Mô hình học sâu phức tạp,Hệ thống giám sát thời gian thực,A,,,
65,,Phân tích đề xuất (prescriptive analytics) có mục tiêu gì?,,,,Gợi ý hành động tối ưu dựa trên kịch bản,Tóm lược dữ liệu quá khứ,Tìm nguyên nhân sự kiện,Xây dựng data pipeline,A,,,
66,,Phân tích dữ liệu không bao gồm hoạt động nào?,,,,Khám phá xu hướng và mối quan hệ,Tự động hóa quy trình thu thập dữ liệu,Trực quan hóa dữ liệu,Diễn giải kết quả phân tích,B,,,
67,,Bước nào trong chu trình khoa học dữ liệu là trọng tâm của phân tích dữ liệu?,,,,Thu thập dữ liệu,Khai phá dữ liệu,Xây dựng mô hình học máy,Triển khai mô hình,B,,,
68,,Phân tích dữ liệu hỗ trợ bước xác định bài toán như thế nào?,,,,Thực hiện phân tích sơ bộ và thống kê mô tả,Xây dựng data pipeline,Huấn luyện mô hình học máy,Thiết kế kho dữ liệu,A,,,
69,,"Trong bước xử lý dữ liệu, phân tích dữ liệu đóng vai trò gì?",,,,Xây dựng mô hình học máy,Đánh giá chất lượng dữ liệu và đề xuất xử lý,Thiết kế hệ thống lưu trữ,Triển khai mô hình,B,,,
70,,Phân tích dữ liệu hỗ trợ bước đánh giá mô hình bằng cách nào?,,,,Xây dựng công cụ truy vấn dữ liệu,Đánh giá hiệu suất bằng chỉ số thống kê,Huấn luyện mô hình học máy,Tự động hóa thu thập dữ liệu,B,,,
71,,Học máy tập trung vào mục tiêu nào?,,,,Khám phá xu hướng trong dữ liệu,Xây dựng mô hình tự động học từ dữ liệu,Thiết kế kho dữ liệu,Trực quan hóa dữ liệu,B,,,
72,,Học có giám sát (supervised learning) được dùng cho bài toán nào?,,,,Phân loại email và dự đoán giá,Phân nhóm khách hàng,Tối ưu hóa phần thưởng,Thiết kế data pipeline,A,,,
73,,Học không giám sát (unsupervised learning) có mục tiêu gì?,,,,Dự đoán giá trị dựa trên nhãn,Khám phá cấu trúc ẩn trong dữ liệu,Tối ưu hóa phần thưởng,Xây dựng kho dữ liệu,B,,,
74,,Học tăng cường (reinforcement learning) được ứng dụng trong lĩnh vực nào?,,,,Phân loại văn bản,Robot học và trò chơi,Phân tích thống kê mô tả,Xây dựng data pipeline,B,,,
75,,Học máy đóng vai trò chính ở bước nào trong chu trình khoa học dữ liệu?,,,,Thu thập dữ liệu,Xây dựng mô hình,Khai phá dữ liệu,Trình bày kết quả,B,,,
76,,Học máy hỗ trợ bước xử lý dữ liệu như thế nào?,,,,Điền giá trị thiếu và thay thế giá trị ngoại lai,Xây dựng công cụ truy vấn,Phân tích thống kê mô tả,Thiết kế kho dữ liệu,A,,,
77,,Học máy đánh giá mô hình dựa trên yếu tố nào?,,,,Chỉ số thống kê và tránh khớp quá mức,Xây dựng data pipeline,Trực quan hóa dữ liệu,Tự động hóa thu thập dữ liệu,A,,,
78,,Học máy hỗ trợ triển khai và giám sát như thế nào?,,,,Xây dựng kho dữ liệu,Giám sát hiệu suất và cập nhật mô hình,Phân tích thống kê mô tả,Trực quan hóa dữ liệu,B,,,
79,,Mô hình nào không thuộc học máy?,,,,Hồi quy tuyến tính,Random forest,Thống kê mô tả,Neural networks,C,,,
80,,Học máy khác với phân tích dữ liệu ở điểm nào?,,,,Tập trung vào tự động hóa và dự đoán,Tập trung vào thu thập dữ liệu,Tập trung vào thiết kế kho dữ liệu,Tập trung vào thống kê mô tả,A,,,
81,,Dữ liệu là gì?,,,,Thông tin đã được xử lý và có ý nghĩa,"Tập hợp các sự kiện, quan sát, con số, ký tự thô",Công cụ để phân tích và ra quyết định,Hệ thống lưu trữ cơ sở dữ liệu,B,,,
82,,Dữ liệu có cấu trúc được lưu trữ ở đâu?,,,,Cơ sở dữ liệu quan hệ và bảng tính,Tệp văn bản không phân tách,Hình ảnh và video,Tệp PDF,A,,,
83,,Đặc điểm của dữ liệu có cấu trúc là gì?,,,,Không tuân theo lược đồ cố định,Có định dạng rõ ràng và dễ xử lý bằng công cụ truyền thống,Chứa thẻ phân cấp như XML,Không thể lưu trong cơ sở dữ liệu,B,,,
84,,Dữ liệu bán cấu trúc có đặc điểm gì?,,,,Có cấu trúc cố định như bảng,Chứa thẻ hoặc thuộc tính để nhóm thông tin,Không thể xử lý bằng công cụ phân tích,Chỉ lưu trữ trong cơ sở dữ liệu quan hệ,B,,,
85,,Ví dụ nào là dữ liệu bán cấu trúc?,,,,Tệp Excel,Tệp âm thanh MP3,Tài liệu XML,Hình ảnh PNG,C,,,
86,,Dữ liệu phi cấu trúc thường được lưu trữ ở đâu?,,,,Cơ sở dữ liệu quan hệ,Cơ sở dữ liệu NoSQL và tệp văn bản,Bảng tính Excel,API dịch vụ web,B,,,
87,,Ví dụ nào là dữ liệu phi cấu trúc?,,,,Danh sách khách hàng trong SQL,Hình ảnh và tệp PDF,Tệp CSV,Tệp JSON,B,,,
88,,Tại sao dữ liệu phi cấu trúc khó lưu trữ trong cơ sở dữ liệu quan hệ?,,,,Do thiếu định dạng cụ thể và quy tắc cú pháp,Do chứa quá nhiều thông tin,Do chỉ lưu được trong Excel,Do không thể phân tích,A,,,
89,,Tệp CSV sử dụng dấu phân tách nào?,,,,"Dấu phẩy (,)",Dấu hai chấm (:),Ký tự tab,Thẻ phân cấp,A,,,
90,,Tệp TSV khác với CSV ở điểm nào?,,,,Sử dụng ký tự tab làm dấu phân tách,Chứa cấu trúc phân cấp,Không có tiêu đề cột,Chỉ lưu dữ liệu phi cấu trúc,A,,,
91,,Bảng tính Excel có đặc điểm gì?,,,,Chứa cấu trúc hàng và cột với ô dữ liệu,Chứa thẻ phân cấp như XML,Không hỗ trợ tính toán,Chỉ lưu dữ liệu phi cấu trúc,A,,,
92,,XML được sử dụng để làm gì?,,,,Lưu trữ dữ liệu phi cấu trúc như hình ảnh,Truyền tải dữ liệu theo cấu trúc phân cấp,Thực hiện tính toán như Excel,Lưu trữ video và âm thanh,B,,,
93,,PDF thường được dùng trong trường hợp nào?,,,,Lưu trữ dữ liệu có cấu trúc,Trình bày văn bản và hình ảnh thống nhất,Thực hiện truy vấn SQL,Truyền tải dữ liệu qua API,B,,,
94,,JSON có đặc điểm gì?,,,,Chứa dữ liệu dạng cặp khóa-giá trị,Sử dụng dấu phẩy làm phân tách,Chỉ lưu trữ trong cơ sở dữ liệu quan hệ,Không tương thích với các ngôn ngữ lập trình,A,,,
95,,Định dạng nào phù hợp với dữ liệu bán cấu trúc?,,,,CSV,JSON,PDF,Excel,B,,,
96,,Tệp văn bản phân tách thường có đặc điểm gì?,,,,Dòng đầu tiên là tiêu đề cột,Chứa cấu trúc phân cấp như XML,Không thể xử lý bằng phần mềm phân tích,Chỉ lưu dữ liệu phi cấu trúc,A,,,
97,,Nguồn dữ liệu nào cung cấp dữ liệu có cấu trúc?,,,,Cơ sở dữ liệu quan hệ,Hình ảnh và video,Tệp PDF,Dữ liệu từ mạng xã hội,A,,,
98,,API được sử dụng để làm gì?,,,,Trích xuất dữ liệu từ trang web không có API,Truy cập dữ liệu từ hệ thống khác qua cổng kết nối,Lưu trữ dữ liệu có cấu trúc,Xử lý dữ liệu phi cấu trúc,B,,,
99,,Web scraping được dùng trong trường hợp nào?,,,,Truy xuất dữ liệu qua API công khai,Trích xuất dữ liệu từ trang web không có API,Lưu trữ dữ liệu trong cơ sở dữ liệu quan hệ,Xử lý dữ liệu thời gian thực,B,,,
100,,Nguồn dữ liệu nào cung cấp dữ liệu thời gian thực?,,,,Tệp CSV tĩnh,Thiết bị IoT và cảm biến,Bảng tính Excel,Tệp PDF,B,,,
101,,Nền tảng nào được dùng để xử lý dữ liệu thời gian thực?,,,,Apache Kafka và Spark Streaming,Microsoft Excel,SQL Server,Tệp JSON tĩnh,A,,,
102,,SQL được sử dụng để làm gì?,,,,Xây dựng mô hình học máy,Truy xuất và thao tác dữ liệu quan hệ,Trích xuất dữ liệu từ trang web,Xử lý dữ liệu phi cấu trúc,B,,,
103,,Python có ưu điểm gì trong khoa học dữ liệu?,,,,"Hệ sinh thái thư viện phong phú như Pandas, Scikit-learn",Chỉ dùng để truy vấn cơ sở dữ liệu,Không tương thích với phân tích dữ liệu,Chỉ hỗ trợ dữ liệu phi cấu trúc,A,,,
104,,R được thiết kế chuyên biệt cho mục đích nào?,,,,Truy vấn cơ sở dữ liệu quan hệ,Thống kê và trực quan hóa dữ liệu,Xử lý dữ liệu thời gian thực,Trích xuất dữ liệu từ web,B,,,
105,,Unix/Linux Shell được dùng để làm gì?,,,,Xây dựng mô hình học máy,"Tự động hóa các tác vụ như sao lưu, xử lý tệp",Truy vấn cơ sở dữ liệu quan hệ,Xử lý dữ liệu phi cấu trúc,B,,,
106,,PowerShell có khả năng gì?,,,,Chỉ dùng để truy vấn cơ sở dữ liệu,"Làm việc với JSON, XML và tạo dashboard",Chỉ xử lý dữ liệu phi cấu trúc,Không tương thích với API,B,,,
107,,Ngôn ngữ nào phù hợp để truy vấn cơ sở dữ liệu quan hệ?,,,,Python,R,SQL,Unix Shell,C,,,
108,,Thư viện nào của Python hỗ trợ phân tích dữ liệu?,,,,NumPy và Pandas,ggplot2,SQL Server,Scrapy,A,,,
109,,Công cụ nào được dùng cho web scraping?,,,,SQL,Scrapy và Selenium,Excel,JSON,B,,,
110,,Nguồn dữ liệu nào phù hợp với phân tích giao dịch bán lẻ?,,,,Cơ sở dữ liệu quan hệ,Tệp PDF,Hình ảnh JPEG,Tệp âm thanh MP3,A,,,
111,,Kỹ thuật dữ liệu có vai trò gì trong khoa học dữ liệu?,,,,Xây dựng mô hình học máy,Thiết kế và duy trì hạ tầng dữ liệu,Phân tích và diễn giải xu hướng dữ liệu,Trực quan hóa dữ liệu,B,,,
112,,Phần lớn thời gian trong dự án khoa học dữ liệu được dành cho hoạt động nào?,,,,Xây dựng mô hình dự đoán,"Thu thập, chuẩn hóa và làm sạch dữ liệu",Trực quan hóa báo cáo,Đánh giá hiệu suất mô hình,B,,,
113,,Kỹ thuật dữ liệu được xem là gì trong hệ thống phân tích?,,,,Cầu nối giữa dữ liệu thô và dữ liệu có giá trị phân tích,Công cụ xây dựng mô hình học máy,Phương pháp phân tích thống kê,Hệ thống trực quan hóa dữ liệu,A,,,
114,,Mục tiêu chính của kỹ thuật dữ liệu là gì?,,,,Phân tích xu hướng dữ liệu,Cung cấp dữ liệu chất lượng cao cho phân tích,Huấn luyện mô hình học máy,Trình bày báo cáo trực quan,B,,,
115,,Chu trình kỹ thuật dữ liệu bao gồm mấy giai đoạn chính?,,,,Ba giai đoạn,Năm giai đoạn,Bảy giai đoạn,Mười giai đoạn,B,,,
116,,Giai đoạn nào không thuộc chu trình kỹ thuật dữ liệu?,,,,Thu nạp dữ liệu,Phân tích thống kê,Lưu trữ dữ liệu,Biến đổi dữ liệu,B,,,
117,,Ai là đối tượng thụ hưởng chính của chu trình kỹ thuật dữ liệu?,,,,Nhà phân tích dữ liệu và kỹ sư học máy,Người dùng cuối không cần phân tích,Lập trình viên phần mềm,Nhà thiết kế giao diện,A,,,
118,,Kỹ thuật dữ liệu khác với khoa học dữ liệu ở điểm nào?,,,,Tập trung vào phân tích và xây dựng mô hình,Tập trung vào hạ tầng và xử lý dữ liệu,Chỉ thực hiện trực quan hóa dữ liệu,Không liên quan đến dữ liệu thô,B,,,
119,,Giai đoạn xác định nguồn sinh dữ liệu tập trung vào điều gì?,,,,Xây dựng mô hình học máy,Xác định hệ thống tạo ra dữ liệu,Phân tích xu hướng dữ liệu,Trực quan hóa dữ liệu,B,,,
